subject,site,condition_type,dark,stimulus,duration,eda_tonic_mean,eda_tonic_std,eda_tonic_max,eda_tonic_min,eda_tonic_median,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_min,eda_phasic_median,eda_phasic_auc,eda_scr,scr_peaks_rate,scr_recovery_rate,aware,bothered,granted,ddp_familiar,ddp_bothered,was_fixated,fixated_ratio,age,is_male,eng_speaking_freq,eng_understanding_freq,eng_proficiency,dark_first,hotel_first
1,hotels,dark_cookies,1,cookies,7.5050,154.6514,0.4139,155.5705,154.2463,154.4905,-0.3928,0.9898,1.2535,-1.7184,-0.6294,0.2880,1,0.1332,0.0000,1,55.81,1,1.0000,74.4750,1,0.3409,27,0,3,4,4,1,1
1,hotels,dark_geolocation,1,geolocation,4.9249,156.7387,0.2106,156.9387,156.2462,156.8243,0.9391,0.8622,1.6983,-1.3214,1.2625,1.0687,0,0.2030,0.0000,0,13.91,1,1.0000,74.4750,1,0.8412,27,0,3,4,4,1,1
1,hotels,dark_notification,1,notification,9.0130,156.0724,0.1518,156.4161,155.9155,156.0182,-0.2722,0.2746,0.1617,-0.7522,-0.2334,0.0133,0,0.0000,0.0000,0,20.48,1,1.0000,57.9250,1,0.7708,27,0,3,4,4,1,1
1,hotels,dark_travelProtection,1,travelProtection,8.2190,130.4425,1.4374,132.8818,128.0212,130.4229,0.0436,1.0660,1.7783,-1.4828,0.2053,0.4994,0,0.1217,0.1217,0,45.6,0,1.0000,72.4800,1,0.8461,27,0,3,4,4,1,1
1,hotels,dark_newsletter,1,newsletter,10.1410,129.7225,2.1747,132.6285,126.0765,129.9503,0.2233,2.7912,5.3914,-5.8636,0.9221,1.2865,1,0.1972,0.2958,0,25.65,1,1.0000,91.1400,1,0.3669,27,0,3,4,4,1,1
1,flights,fair_cookies,0,cookies,4.6879,129.8880,0.3633,130.5011,129.2671,129.8855,-1.1676,3.5979,2.5785,-9.7672,-0.0138,0.6872,1,0.2133,0.2133,0,23.88,0,1.0000,74.4750,1,0.7502,27,0,3,4,4,1,1
1,flights,fair_geolocation,0,geolocation,4.5010,128.4987,0.4980,129.2668,127.5576,128.5448,1.6412,1.0223,3.4457,-1.1394,1.6245,1.6734,1,0.4443,0.4443,0,24.47,0,1.0000,74.4750,0,0.0000,27,0,3,4,4,1,1
1,flights,fair_notification,0,notification,10.8358,122.4403,0.8550,123.5819,120.7585,122.5920,0.2477,0.2800,0.7260,-0.1720,0.2046,0.2660,0,0.0000,0.0000,0,21.3,0,1.0000,57.9250,1,0.2074,27,0,3,4,4,1,1
1,flights,fair_travelProtection,0,travelProtection,2.1310,108.9119,0.2973,109.4087,108.3852,108.9195,1.0127,0.9796,1.5564,-3.6352,1.2897,1.1779,0,0.4693,0.4693,0,16.96,0,1.0000,72.4800,1,0.8822,27,0,3,4,4,1,1
1,flights,fair_newsletter,0,newsletter,13.7920,104.9008,0.5580,106.3151,104.2590,104.7779,-0.3571,1.5838,2.6557,-4.2238,0.0124,0.3991,1,0.0725,0.0725,0,27.88,1,1.0000,91.1400,1,0.3461,27,0,3,4,4,1,1
2,flights,fair_cookies,0,cookies,3.1419,223.6465,0.0374,223.6877,223.5586,223.6573,-2.1422,1.4563,0.5654,-4.1658,-2.2367,0.0264,0,0.0000,0.0000,1,100.0,0,1.0000,84.1250,1,0.7670,16,1,4,4,4,0,0
2,flights,fair_geolocation,0,geolocation,7.5270,221.3737,1.6444,223.5579,218.2240,221.6264,1.0170,2.5133,5.7242,-1.4971,-0.1551,1.5498,0,0.1329,0.1329,1,100.0,0,1.0000,84.1250,0,0.0000,16,1,4,4,4,0,0
2,flights,fair_notification,0,notification,15.0000,212.1669,0.8976,213.2854,210.1610,212.2942,0.0178,2.4837,5.6744,-4.0941,-0.3694,0.9188,1,0.0667,0.0667,1,56.51,0,1.0000,70.5700,1,0.1773,16,1,4,4,4,0,0
2,flights,fair_travelProtection,0,travelProtection,5.6509,185.3601,0.1993,185.5425,184.8578,185.4457,1.0767,1.9142,3.6986,-1.6669,1.0496,1.4673,1,0.1770,0.1770,1,49.82,0,1.0000,100.0000,1,0.5883,16,1,4,4,4,0,0
2,flights,fair_newsletter,0,newsletter,15.0000,191.1587,2.8340,196.6560,186.7547,190.6485,0.2453,2.6398,5.4787,-4.2456,-0.1367,1.2232,1,0.0667,0.0667,1,53.58,1,1.0000,68.2500,1,0.2380,16,1,4,4,4,0,0
2,hotels,dark_cookies,1,cookies,3.4188,207.2836,0.5391,208.2044,206.3813,207.2776,-1.9454,0.7129,0.0820,-3.3504,-2.1366,0.0002,0,0.0000,0.0000,1,59.1,1,1.0000,84.1250,1,0.6789,16,1,4,4,4,0,0
2,hotels,dark_geolocation,1,geolocation,2.7059,208.7177,0.1281,208.8330,208.3830,208.7766,2.8617,1.1306,4.8889,1.3128,2.9208,2.8607,0,0.0000,0.3696,1,99.24,0,1.0000,84.1250,1,0.5323,16,1,4,4,4,0,0
2,hotels,dark_notification,1,notification,2.1418,198.4064,0.2332,198.8462,198.0445,198.3870,1.0443,0.5394,1.6421,-0.0121,1.1643,1.0441,0,0.4669,0.4669,1,96.77,0,1.0000,70.5700,1,0.7351,16,1,4,4,4,0,0
2,hotels,dark_travelProtection,1,travelProtection,3.1260,212.5370,0.1948,212.7098,212.0280,212.6304,6.1936,1.5826,7.9711,2.8642,6.5997,6.1924,0,0.3199,0.0000,1,78.7,0,1.0000,100.0000,1,0.6264,16,1,4,4,4,0,0
2,hotels,dark_newsletter,1,newsletter,15.0000,215.0464,2.6098,220.0195,211.0812,215.0002,-0.2014,2.7287,4.4605,-5.2469,-0.0909,1.0734,1,0.1333,0.1333,1,49.59,1,1.0000,68.2500,1,0.2750,16,1,4,4,4,0,0
3,hotels,fair_cookies,0,cookies,3.1659,317.7120,1.2613,320.3730,316.0700,317.4536,-7.5683,1.4993,-6.1999,-11.6780,-6.9660,0.0000,0,0.0000,0.0000,0,9.8,0,1.0000,100.0000,1,0.6361,19,0,4,4,3,0,1
3,hotels,fair_geolocation,0,geolocation,7.5100,328.8504,3.9764,332.9363,320.3893,330.5536,6.2904,22.0068,38.7012,-23.3470,9.8744,13.6366,1,0.1332,0.1332,1,100.0,0,1.0000,100.0000,0,0.0000,19,0,4,4,3,0,1
3,hotels,fair_notification,0,notification,2.8600,328.5298,5.9000,338.5237,318.3158,328.5876,2.3593,16.0972,17.9331,-25.5458,11.5258,8.6949,1,0.3497,0.0000,0,20.95,0,1.0000,100.0000,1,0.5661,19,0,4,4,3,0,1
3,hotels,fair_travelProtection,0,travelProtection,9.8240,299.4031,3.2576,304.5683,294.6597,299.4863,2.2300,5.6635,12.5722,-5.5400,0.3607,3.4930,1,0.1018,0.1018,0,24.0,0,1.0000,100.0000,1,0.8883,19,0,4,4,3,0,1
3,hotels,fair_newsletter,0,newsletter,4.9399,297.1382,0.5206,298.3045,296.3783,297.0497,0.8839,4.2440,6.3060,-6.5593,1.4070,2.3446,1,0.2024,0.2024,0,20.13,0,1.0000,100.0000,1,0.5467,19,0,4,4,3,0,1
3,flights,dark_cookies,1,cookies,4.3419,376.7661,3.5172,382.0107,370.1827,377.0937,-3.2996,3.0191,4.9895,-6.4045,-4.2548,0.3654,0,0.0000,0.2303,1,100.0,1,1.0000,100.0000,1,0.6459,19,0,4,4,3,0,1
3,flights,dark_geolocation,1,geolocation,1.3166,357.6175,1.1725,359.6585,355.6016,357.6112,-0.4534,0.3104,0.0607,-1.0255,-0.4711,0.0027,0,0.0000,0.0000,1,49.71,0,1.0000,100.0000,1,0.2395,19,0,4,4,3,0,1
