,subject,ECG_Rate_Baseline,ECG_Rate_Max,ECG_Rate_Min,ECG_Rate_Mean,ECG_Rate_SD,ECG_Rate_Max_Time,ECG_Rate_Min_Time,ECG_Rate_Trend_Linear,ECG_Rate_Trend_Quadratic,ECG_Rate_Trend_R2,ECG_Phase_Atrial,ECG_Phase_Completion_Atrial,ECG_Phase_Ventricular,ECG_Phase_Completion_Ventricular,ECG_Quality_Mean,EDA_Peak_Amplitude,EDA_SCR,SCR_Peak_Amplitude,SCR_Peak_Amplitude_Time,SCR_RiseTime,SCR_RecoveryTime,pupil_diameter_Baseline,pupil_diameter_Max,pupil_diameter_Min,pupil_diameter_Mean,pupil_diameter_SD,pupil_diameter_Max_Time,pupil_diameter_Min_Time,pupil_diameter_Trend_Linear,pupil_diameter_Trend_Quadratic,pupil_diameter_Trend_R2,total_duration,likert
cookies,1,89.69747743883751,2.610214868854797,-0.14523863286736116,1.05062097504954,0.964975274691403,2.774614443084455,0.8022031823745408,0.059247493212334724,0.03934642100254161,0.817733820683658,1.0,0.13793103448275862,0.0,0.7807017543859648,0.7611250617412372,0.765007169906938,1,1.2834091400677183,2.1388372093023253,1.825,,3.5193358347600587,0.041414858642129904,-0.2703449704061778,-0.08458176069286294,0.06952998833942109,3.09,1.7133170134638922,-0.258157123764149,0.06712935220734215,0.682340096008357,3.09,3
geolocation,1,88.9953149132228,-0.015417713619072515,-8.9953149132228,-4.304939130942202,2.78669698142161,0.005838198498749003,4.514595496246872,0.3603813477376357,-1.7053691559798587,0.8901290709842279,0.0,0.765217391304348,0.0,0.04081632653061224,0.9807145252257946,0.3133204412490309,0,,,,,3.5013945008882574,0.1581931468593969,-0.09929488444075218,0.042996140064293975,0.06838783842776495,1.3019182652210173,4.299416180150125,-0.015533682564162567,0.04076073321364673,0.055061732530310326,8.99,2
confirmshaming,1,76.43312101910827,3.5668789808917296,-1.4331210191082704,1.2722853290019458,1.6206966817001558,2.5279399499582986,0.9966638865721433,2.8628366016665012,-2.2487870508562127,0.6155393535159583,0.0,0.8740740740740741,0.0,0.5824175824175825,0.9840369505312445,0.028092477267208017,0,,,,,3.3889741393874764,0.40979725436216397,-0.02692689438746898,0.12762823356239839,0.11888854073599547,1.7422852376980815,4.089241034195163,0.05041466793472545,0.14256550179220703,0.24266447724386853,18.28,2
personalDetails,1,83.99382117726681,4.241472940380248,-8.522123064059272,-2.108494832040222,4.772044766065721,0.5963302752293578,4.299416180150125,-1.5918120660876074,4.462060145028644,0.917976837580311,0.0,0.1619047619047619,1.0,0.21250000000000005,0.8737982058037772,0.401474490248236,1,0.5311335593428439,2.923269391159299,1.695,911.0,3.055494954402768,0.5719371310727475,0.0028246663093032254,0.38281467513902845,0.11949077876843661,3.1184320266889074,0.005838198498749003,0.14624421043184632,0.20542640546038554,0.2840466683016172,95.885,2
confusingCheckbox,1,85.1063829787234,0.0,-8.673261959615132,-5.706654094570453,2.778008905255386,0.005838198498749003,2.1976647206005,-6.007232065067933,0.9867699940335917,0.7213354559066004,0.0,0.13157894736842107,1.0,0.32608695652173914,0.7578598706949794,0.3821723888292396,1,0.39487864609402046,3.2435362802335277,1.88,757.0,3.1141696182711907,0.2011755459578315,-0.29259004782526654,0.03538619787558828,0.09801926342815759,2.4728940783986655,2.0475396163469557,0.1103886246480192,-0.03440845327372263,0.26023285586371325,93.94,2
creditCard,1,81.63265306122449,2.283430854859432,-20.80858682327205,-0.058192410732701205,4.428314041027561,1.4120100083402836,5.0,6.379051476988614,-3.128462539796542,0.6172341644227963,0.0,0.06611570247933884,1.0,0.11267605633802817,0.7642677805752084,0.45281241266771044,0,,,,,3.2439644884244014,0.17401482769049892,-0.437339052681724,-0.05157416271124893,0.186616768528555,2.5829858215179313,4.779816513761467,0.21689415561279257,-0.086727463259814,0.8273310083806222,20.97,2
id,1,80.38980473811878,7.845489379528274,0.04031979298113697,3.6061648910215496,2.1495984765198135,3.098415346121768,0.005838198498749003,4.666686080447453,-0.18973623571292234,0.6716822724746787,0.0,0.8823529411764706,0.0,0.5528455284552846,0.9094270221479439,0.5632031139881879,0,,,,,3.0684067871943785,0.10007866879147187,-0.20065334334308726,-0.03529552949019754,0.09709062598247747,3.5437864887406167,1.9124270225187656,-0.03724949282463665,-0.08034988660084,0.5620594535848813,19.79,2
cookies,2,90.56033240595588,0.34875850313503065,-12.128959856936262,-7.4615488805523285,3.962983408830814,0.4612176814011675,4.1342785654712255,-6.409529272173951,2.0981613511262758,0.9765677183962079,0.0,0.36363636363636365,1.0,0.547945205479452,0.9607481577401923,0.5273991389114597,0,,,,,3.835225368464248,-0.004377542182911753,-0.8379477490247775,-0.49607608106880674,0.2250541872057915,0.005838198498749003,2.9983319432860718,-0.35130833616601975,-0.3286889517706049,0.7334699083528475,6.505,5
geolocation,2,73.61963190184049,9.71370143149285,-0.7098890453791427,4.897852579289577,3.508168871914576,2.538063258232236,4.775,9.614729653516648,-3.368011350417945,0.8977382213116175,0.0,0.7183098591549296,0.0,0.33333333333333337,0.9923343516498231,0.4720874812095652,0,,,,,3.799528529159974,0.08359678316335373,-0.9222119196708665,-0.4421535832933876,0.33118260321569243,4.775,2.6681759098786832,-0.6667734750764742,-0.05837832125054368,0.8148275830894303,4.775,7
confirmshaming,2,85.3403198360164,0.37396587826931693,-7.920964997306726,-3.1864725581738327,3.2190002206544417,0.5312760633861551,3.438698915763136,-0.8889722619550261,0.7234649550012572,0.738764999542316,0.0,0.288135593220339,1.0,0.5,0.9799121843030855,0.21072873490471766,1,0.8818561677240153,4.704753961634696,1.555,,3.318826250309676,0.20466624343653006,-0.46615376490204286,-0.2627096317719668,0.18229166354977663,1.1818181818181817,3.8890742285237696,-0.2094223358066084,0.07112981351032391,0.6232835727493341,7.435,4
